dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
AFEW,AFEW-171,000046280_f1.png,anger,45,male,,front,,train,0,0,1
AFEW,AFEW-171,002927520_f1.png,neutral,45,male,,front,,train,0,0,1
AFEW,AFEW-195,000223480_f1.png,anger,27,male,,front,,train,0,0,1
AFEW,AFEW-195,010620040_f1.png,surprise,27,male,,front,,train,0,0,1
AFEW,AFEW-87,000429620_f1.png,anger,13,male,,,,train,0,0,0
AFEW,AFEW-87,000746734_f1.png,anger,13,male,,front,,train,0,0,1
AFEW,AFEW-87,004805814_f1.png,anger,15,male,,front,,train,0,0,1
AFEW,AFEW-87,010620475_f1.png,anger,17,male,,,,train,0,0,0
AFEW,AFEW-87,011345040_f1.png,anger,21,male,,front,,train,0,0,1
AFEW,AFEW-87,015256413_f1.png,anger,17,male,,front,,train,0,0,1
AFEW,AFEW-87,002006160_f1.png,disgust,18,male,,front,,train,0,0,1
AFEW,AFEW-87,000340094_f1.png,fear,15,male,,half_right,,train,0,0,1
AFEW,AFEW-87,000359934_f1.png,fear,15,male,,front,,train,0,0,1
AFEW,AFEW-87,000852880_f1.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,000852880_f2.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,000852880_f3.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,000852880_f4.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,000852880_f5.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,001113440_f1.png,fear,13,male,,front,,train,0,0,1
AFEW,AFEW-87,001846440_f1.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,002241000_f1.png,fear,13,male,,front,,train,0,0,1
AFEW,AFEW-87,003314854_f1.png,fear,15,male,,front,,train,0,0,1
AFEW,AFEW-87,004313680_f1.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,004331934_f1.png,fear,12,male,,front,,train,0,0,1
AFEW,AFEW-87,004545894_f1.png,fear,15,male,,,,train,0,0,0
AFEW,AFEW-87,005924440_f1.png,fear,23,male,,,,train,0,0,0
AFEW,AFEW-87,005924440_f2.png,fear,23,male,,half_right,,train,0,0,1
AFEW,AFEW-87,005924440_f3.png,fear,23,male,,,,train,0,0,0
AFEW,AFEW-87,010226800_f1.png,fear,13,male,,front,,train,0,0,1
AFEW,AFEW-87,010845040_f1.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,010845040_f2.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,010845040_f3.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,010845040_f4.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,010845040_f5.png,fear,21,male,,,,train,0,0,0
AFEW,AFEW-87,013925480_f1.png,fear,21,male,,,,train,0,0,0
AFEW,AFEW-87,013925480_f2.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,013925480_f3.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,013925480_f4.png,fear,21,male,,front,,train,0,0,1
AFEW,AFEW-87,001719520_f1.png,happiness,18,male,,front,,train,0,0,1
AFEW,AFEW-87,002818854_f1.png,happiness,15,male,,front,,train,0,0,1
AFEW,AFEW-87,004355094_f1.png,happiness,12,male,,front,,train,0,0,1
AFEW,AFEW-87,004850214_f1.png,happiness,15,male,,,,train,0,0,0
AFEW,AFEW-87,010028014_f1.png,happiness,15,male,,front,,train,0,0,1
AFEW,AFEW-87,012256040_f1.png,happiness,23,male,,front,,train,0,0,1
AFEW,AFEW-87,012256040_f2.png,happiness,23,male,,front,,train,0,0,1
AFEW,AFEW-87,012256040_f3.png,happiness,23,male,,front,,train,0,0,1
AFEW,AFEW-87,000029301_f1.png,neutral,20,male,,front,,train,0,0,1
AFEW,AFEW-87,000452240_f1.png,neutral,21,male,,front,,train,0,0,1
AFEW,AFEW-87,000452240_f2.png,neutral,21,male,,front,,train,0,0,1
AFEW,AFEW-87,000452240_f3.png,neutral,21,male,,front,,train,0,0,1
AFEW,AFEW-87,000452240_f4.png,neutral,21,male,,front,,train,0,0,1
AFEW,AFEW-87,000452240_f5.png,neutral,21,male,,front,,train,0,0,1
