dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
BioVidEmo,BioVidEmo-1,120713-09_w_21-amusement_f1.png,happiness,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-amusement_f2.png,happiness,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-amusement_f3.png,happiness,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-amusement_f4.png,happiness,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-amusement_f5.png,happiness,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-anger_f1.png,anger,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-anger_f2.png,anger,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-anger_f3.png,anger,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-anger_f4.png,anger,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-anger_f5.png,anger,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-disgust_f1.png,disgust,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-disgust_f2.png,disgust,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-disgust_f3.png,disgust,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-disgust_f4.png,disgust,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-disgust_f5.png,disgust,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-fear_f1.png,fear,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-fear_f2.png,fear,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-fear_f3.png,fear,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-fear_f4.png,fear,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-fear_f5.png,fear,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-sad_f1.png,sadness,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-sad_f2.png,sadness,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-sad_f3.png,sadness,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-sad_f4.png,sadness,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-1,120713-09_w_21-sad_f5.png,sadness,21,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-amusement_f1.png,happiness,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-amusement_f2.png,happiness,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-amusement_f3.png,happiness,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-amusement_f4.png,happiness,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-amusement_f5.png,happiness,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-anger_f1.png,anger,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-anger_f2.png,anger,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-anger_f3.png,anger,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-anger_f4.png,anger,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-anger_f5.png,anger,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-disgust_f1.png,disgust,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-disgust_f2.png,disgust,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-disgust_f3.png,disgust,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-disgust_f4.png,disgust,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-disgust_f5.png,disgust,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-fear_f1.png,fear,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-fear_f2.png,fear,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-fear_f3.png,fear,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-fear_f4.png,fear,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-fear_f5.png,fear,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-sad_f1.png,sadness,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-sad_f2.png,sadness,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-sad_f3.png,sadness,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-sad_f4.png,sadness,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-2,120713-13_m_41-sad_f5.png,sadness,41,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-amusement_f1.png,happiness,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-amusement_f2.png,happiness,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-amusement_f3.png,happiness,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-amusement_f4.png,happiness,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-amusement_f5.png,happiness,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-anger_f1.png,anger,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-anger_f2.png,anger,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-anger_f3.png,anger,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-anger_f4.png,anger,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-anger_f5.png,anger,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-disgust_f1.png,disgust,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-disgust_f2.png,disgust,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-disgust_f3.png,disgust,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-disgust_f4.png,disgust,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-disgust_f5.png,disgust,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-fear_f1.png,fear,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-fear_f2.png,fear,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-fear_f3.png,fear,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-fear_f4.png,fear,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-fear_f5.png,fear,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-sad_f1.png,sadness,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-sad_f2.png,sadness,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-sad_f3.png,sadness,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-sad_f4.png,sadness,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-3,120716-14_m_20-sad_f5.png,sadness,20,male,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-amusement_f1.png,happiness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-amusement_f2.png,happiness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-amusement_f3.png,happiness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-amusement_f4.png,happiness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-amusement_f5.png,happiness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-anger_f1.png,anger,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-anger_f2.png,anger,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-anger_f3.png,anger,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-anger_f4.png,anger,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-anger_f5.png,anger,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-disgust_f1.png,disgust,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-disgust_f2.png,disgust,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-disgust_f3.png,disgust,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-disgust_f4.png,disgust,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-disgust_f5.png,disgust,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-fear_f1.png,fear,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-fear_f2.png,fear,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-fear_f3.png,fear,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-fear_f4.png,fear,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-fear_f5.png,fear,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-sad_f1.png,sadness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-sad_f2.png,sadness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-sad_f3.png,sadness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-sad_f4.png,sadness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-4,120717-09_w_23-sad_f5.png,sadness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-amusement_f1.png,happiness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-amusement_f2.png,happiness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-amusement_f3.png,happiness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-amusement_f4.png,happiness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-amusement_f5.png,happiness,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-anger_f1.png,anger,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-anger_f2.png,anger,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-anger_f3.png,anger,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-anger_f4.png,anger,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-anger_f5.png,anger,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-disgust_f1.png,disgust,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-disgust_f2.png,disgust,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-disgust_f3.png,disgust,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-disgust_f4.png,disgust,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-disgust_f5.png,disgust,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-fear_f1.png,fear,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-fear_f2.png,fear,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-fear_f3.png,fear,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-fear_f4.png,fear,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-fear_f5.png,fear,23,female,,front,,,0,0,1
BioVidEmo,BioVidEmo-5,120718-14_w_23-sad_f1.png,sadness,23,female,,front,,,0,0,1
