dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
DDCF,DDCF-1,S04_13yoM_Afraid_far left 1.jpg,fear,13,male,caucasian,full_left,,,0,0,0
DDCF,DDCF-1,S04_13yoM_Afraid_far left 2.jpg,fear,13,male,caucasian,full_left,,,0,0,0
DDCF,DDCF-1,S04_13yoM_Afraid_far right 1.jpg,fear,13,male,caucasian,full_right,,,0,0,0
DDCF,DDCF-1,S04_13yoM_Afraid_far right 2.jpg,fear,13,male,caucasian,full_right,,,0,0,0
DDCF,DDCF-1,S04_13yoM_Afraid_front 1.jpg,fear,13,male,caucasian,front,,,0,0,0
DDCF,DDCF-1,S04_13yoM_Afraid_front 2.jpg,fear,13,male,caucasian,front,,,0,0,0
DDCF,DDCF-1,S04_13yoM_Afraid_left 1.jpg,fear,13,male,caucasian,half_left,,,0,0,0
DDCF,DDCF-1,S04_13yoM_Afraid_left 2.jpg,fear,13,male,caucasian,half_left,,,0,0,0
DDCF,DDCF-1,S04_13yoM_Afraid_right 1.jpg,fear,13,male,caucasian,half_right,,,0,0,0
DDCF,DDCF-1,S04_13yoM_Afraid_right 2.jpg,fear,13,male,caucasian,half_right,,,0,0,0
DDCF,DDCF-2,S102_9yoF_Afraid_far left_4065.JPG,fear,9,female,caucasian,full_left,,,0,0,0
DDCF,DDCF-2,S102_9yoF_Afraid_far left_4066.JPG,fear,9,female,caucasian,full_left,,,0,0,0
DDCF,DDCF-2,S102_9yoF_Afraid_far right_4013.JPG,fear,9,female,caucasian,full_right,,,0,0,0
DDCF,DDCF-2,S102_9yoF_Afraid_far right_4014.JPG,fear,9,female,caucasian,full_right,,,0,0,0
DDCF,DDCF-2,S102_9yoF_Afraid_front_4047.JPG,fear,9,female,caucasian,front,,,0,0,0
DDCF,DDCF-2,S102_9yoF_Afraid_front_4048.JPG,fear,9,female,caucasian,front,,,0,0,0
DDCF,DDCF-2,S102_9yoF_Afraid_left_4281.JPG,fear,9,female,caucasian,half_left,,,0,0,0
DDCF,DDCF-2,S102_9yoF_Afraid_left_4282.JPG,fear,9,female,caucasian,half_left,,,0,0,0
DDCF,DDCF-2,S102_9yoF_Afraid_right_4263.JPG,fear,9,female,caucasian,half_right,,,0,0,0
DDCF,DDCF-2,S102_9yoF_Afraid_right_4264.JPG,fear,9,female,caucasian,half_right,,,0,0,0
DDCF,DDCF-3,S103_12yoM_Afraid_far left 1.jpg,fear,12,male,caucasian,full_left,,,0,0,0
DDCF,DDCF-3,S103_12yoM_Afraid_far left 2.jpg,fear,12,male,caucasian,full_left,,,0,0,0
DDCF,DDCF-3,S103_12yoM_Afraid_far right 1.jpg,fear,12,male,caucasian,full_right,,,0,0,0
DDCF,DDCF-3,S103_12yoM_Afraid_far right 2.jpg,fear,12,male,caucasian,full_right,,,0,0,0
DDCF,DDCF-3,S103_12yoM_Afraid_front 1.jpg,fear,12,male,caucasian,front,,,0,0,0
DDCF,DDCF-3,S103_12yoM_Afraid_front 2.jpg,fear,12,male,caucasian,front,,,0,0,0
DDCF,DDCF-3,S103_12yoM_Afraid_left 1.jpg,fear,12,male,caucasian,half_left,,,0,0,0
DDCF,DDCF-3,S103_12yoM_Afraid_left 2.jpg,fear,12,male,caucasian,half_left,,,0,0,0
DDCF,DDCF-3,S103_12yoM_Afraid_right 1.jpg,fear,12,male,caucasian,half_right,,,0,0,0
DDCF,DDCF-3,S103_12yoM_Afraid_right 2.jpg,fear,12,male,caucasian,half_right,,,0,0,0
DDCF,DDCF-4,S104_12yoM_Afraid_far left 1.jpg,fear,12,male,caucasian,full_left,,,0,0,0
DDCF,DDCF-4,S104_12yoM_Afraid_far left 2.jpg,fear,12,male,caucasian,full_left,,,0,0,0
DDCF,DDCF-4,S104_12yoM_Afraid_far right 1.jpg,fear,12,male,caucasian,full_right,,,0,0,0
DDCF,DDCF-4,S104_12yoM_Afraid_far right 2.jpg,fear,12,male,caucasian,full_right,,,0,0,0
DDCF,DDCF-4,S104_12yoM_Afraid_front 1.jpg,fear,12,male,caucasian,front,,,0,0,0
DDCF,DDCF-4,S104_12yoM_Afraid_front 2.jpg,fear,12,male,caucasian,front,,,0,0,0
DDCF,DDCF-4,S104_12yoM_Afraid_left 1.jpg,fear,12,male,caucasian,half_left,,,0,0,0
DDCF,DDCF-4,S104_12yoM_Afraid_left 2.jpg,fear,12,male,caucasian,half_left,,,0,0,0
DDCF,DDCF-4,S104_12yoM_Afraid_right 1.jpg,fear,12,male,caucasian,half_right,,,0,0,0
DDCF,DDCF-4,S104_12yoM_Afraid_right 2.jpg,fear,12,male,caucasian,half_right,,,0,0,0
DDCF,DDCF-5,S105_9yoF_Afraid_far left_4176.JPG,fear,9,female,caucasian,full_left,,,0,0,0
DDCF,DDCF-5,S105_9yoF_Afraid_far left_4177.JPG,fear,9,female,caucasian,full_left,,,0,0,0
DDCF,DDCF-5,S105_9yoF_Afraid_far right_4124.JPG,fear,9,female,caucasian,full_right,,,0,0,0
DDCF,DDCF-5,S105_9yoF_Afraid_far right_4125.JPG,fear,9,female,caucasian,full_right,,,0,0,0
DDCF,DDCF-5,S105_9yoF_Afraid_front_4160.JPG,fear,9,female,caucasian,front,,,0,0,0
DDCF,DDCF-5,S105_9yoF_Afraid_front_4161.JPG,fear,9,female,caucasian,front,,,0,0,0
DDCF,DDCF-5,S105_9yoF_Afraid_left_4400.JPG,fear,9,female,caucasian,half_left,,,0,0,0
DDCF,DDCF-5,S105_9yoF_Afraid_left_4401.JPG,fear,9,female,caucasian,half_left,,,0,0,0
DDCF,DDCF-5,S105_9yoF_Afraid_right_4384.JPG,fear,9,female,caucasian,half_right,,,0,0,0
DDCF,DDCF-5,S105_9yoF_Afraid_right_4385.JPG,fear,9,female,caucasian,half_right,,,0,0,0
DDCF,DDCF-6,S107_14yoM_Afraid_far left 1.jpg,fear,14,male,caucasian,full_left,,,0,0,0
DDCF,DDCF-6,S107_14yoM_Afraid_far left 2.jpg,fear,14,male,caucasian,full_left,,,0,0,0
DDCF,DDCF-6,S107_14yoM_Afraid_far right 1.jpg,fear,14,male,caucasian,full_right,,,0,0,0
DDCF,DDCF-6,S107_14yoM_Afraid_far right 2.jpg,fear,14,male,caucasian,full_right,,,0,0,0
DDCF,DDCF-6,S107_14yoM_Afraid_front 1.jpg,fear,14,male,caucasian,front,,,0,0,0
DDCF,DDCF-6,S107_14yoM_Afraid_front 2.jpg,fear,14,male,caucasian,front,,,0,0,0
DDCF,DDCF-6,S107_14yoM_Afraid_left 1.jpg,fear,14,male,caucasian,half_left,,,0,0,0
DDCF,DDCF-6,S107_14yoM_Afraid_left 2.jpg,fear,14,male,caucasian,half_left,,,0,0,0
DDCF,DDCF-6,S107_14yoM_Afraid_right 1.jpg,fear,14,male,caucasian,half_right,,,0,0,0
DDCF,DDCF-6,S107_14yoM_Afraid_right 2.jpg,fear,14,male,caucasian,half_right,,,0,0,0
DDCF,DDCF-7,S108_10yoM_Afraid_far left 1.jpg,fear,10,male,caucasian,full_left,,,0,0,0
DDCF,DDCF-7,S108_10yoM_Afraid_far left 2.jpg,fear,10,male,caucasian,full_left,,,0,0,0
DDCF,DDCF-7,S108_10yoM_Afraid_far right 1.jpg,fear,10,male,caucasian,full_right,,,0,0,0
DDCF,DDCF-7,S108_10yoM_Afraid_far right 2.jpg,fear,10,male,caucasian,full_right,,,0,0,0
DDCF,DDCF-7,S108_10yoM_Afraid_front 1.jpg,fear,10,male,caucasian,front,,,0,0,0
DDCF,DDCF-7,S108_10yoM_Afraid_front 2.jpg,fear,10,male,caucasian,front,,,0,0,0
DDCF,DDCF-7,S108_10yoM_Afraid_left 1.jpg,fear,10,male,caucasian,half_left,,,0,0,0
DDCF,DDCF-7,S108_10yoM_Afraid_left 2.jpg,fear,10,male,caucasian,half_left,,,0,0,0
DDCF,DDCF-7,S108_10yoM_Afraid_right 1.jpg,fear,10,male,caucasian,half_right,,,0,0,0
