dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
DEFSS,DEFSS-1,1_F8_Sad.jpg,sadness,8,female,white,front,,,0,0,0
DEFSS,DEFSS-1,1_F8_Happy.jpg,happiness,8,female,white,front,,,0,0,0
DEFSS,DEFSS-1,1_F8_Fear.jpg,fear,8,female,white,front,,,0,0,0
DEFSS,DEFSS-1,1_F8_Angry.jpg,anger,8,female,white,front,,,0,0,0
DEFSS,DEFSS-2,2_F8_Angry.jpg,anger,8,female,white,front,,,0,0,0
DEFSS,DEFSS-2,2_F8_Sad.jpg,sadness,8,female,white,front,,,0,0,0
DEFSS,DEFSS-2,2_F8_Neutral.jpg,neutral,8,female,white,front,,,0,0,0
DEFSS,DEFSS-2,2_F8_Happy.jpg,happiness,8,female,white,front,,,0,0,0
DEFSS,DEFSS-3,3_M8_Happy.jpg,happiness,8,male,black,front,,,0,0,0
DEFSS,DEFSS-3,3_M8_Fear.jpg,fear,8,male,black,front,,,0,0,0
DEFSS,DEFSS-3,3_M8_Angry.jpg,anger,8,male,black,front,,,0,0,0
DEFSS,DEFSS-3,3_M8_Neutral.jpg,neutral,8,male,black,front,,,0,0,0
DEFSS,DEFSS-4,4_M8_Angry.jpg,anger,8,male,white,front,,,0,0,0
DEFSS,DEFSS-4,4_M8_Fear.jpg,fear,8,male,white,front,,,0,0,0
DEFSS,DEFSS-4,4_M8_Happy.jpg,happiness,8,male,white,front,,,0,0,0
DEFSS,DEFSS-4,4_M8_Neutral.jpg,neutral,8,male,white,front,,,0,0,0
DEFSS,DEFSS-4,4_M8_Sad.jpg,sadness,8,male,white,front,,,0,0,0
DEFSS,DEFSS-5,5_M8_Happy.jpg,happiness,8,male,white,front,,,0,0,0
DEFSS,DEFSS-5,5_M8_Fear.jpg,fear,8,male,white,front,,,0,0,0
DEFSS,DEFSS-5,5_M8_Angry.jpg,anger,8,male,white,front,,,0,0,0
DEFSS,DEFSS-5,5_M8_Neutral.jpg,neutral,8,male,white,front,,,0,0,0
DEFSS,DEFSS-6,6_8M_Neutral.jpg,neutral,8,male,white,front,,,0,0,0
DEFSS,DEFSS-6,6_8M_Fear.jpg,fear,8,male,white,front,,,0,0,0
DEFSS,DEFSS-6,6_M8_Angry.jpg,anger,8,male,white,front,,,0,0,0
DEFSS,DEFSS-7,7_M8_Happy.jpg,happiness,8,male,white,front,,,0,0,0
DEFSS,DEFSS-7,7_M8_Sad.jpg,sadness,8,male,white,front,,,0,0,0
DEFSS,DEFSS-7,7_M8_Neutral.jpg,neutral,8,male,white,front,,,0,0,0
DEFSS,DEFSS-8,8_M8_Happy.jpg,happiness,8,male,white,front,,,0,0,0
DEFSS,DEFSS-8,8_M8_Sad.jpg,sadness,8,male,white,front,,,0,0,0
DEFSS,DEFSS-8,8_M8_Fear.jpg,fear,8,male,white,front,,,0,0,0
DEFSS,DEFSS-8,8_M8_Angry.jpg,anger,8,male,white,front,,,0,0,0
DEFSS,DEFSS-8,8_M8_Neutral.jpg,neutral,8,male,white,front,,,0,0,0
DEFSS,DEFSS-9,9_M8_Happy.jpg,happiness,8,male,white,front,,,0,0,0
DEFSS,DEFSS-9,9_M8_Sad.jpg,sadness,8,male,white,front,,,0,0,0
DEFSS,DEFSS-9,9_M8_Angry.jpg,anger,8,male,white,front,,,0,0,0
DEFSS,DEFSS-9,9_M8_Neutral.jpg,neutral,8,male,white,front,,,0,0,0
DEFSS,DEFSS-10,10_F9_Happy.jpg,happiness,9,female,white,front,,,0,0,0
DEFSS,DEFSS-10,10_F9_Sad.jpg,sadness,9,female,white,front,,,0,0,0
DEFSS,DEFSS-10,10_F9_Angry.jpg,anger,9,female,white,front,,,0,0,0
