dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
EMOREACT,,80'sTOYS105_2_f1.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS105_2_f2.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS105_2_f3.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS105_2_f4.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS105_2_f5.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS118_2_f1.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS118_2_f2.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS118_2_f3.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS118_2_f4.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS118_2_f5.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS118_2_f1.png,excitement,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS118_2_f2.png,excitement,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS118_2_f3.png,excitement,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS118_2_f4.png,excitement,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS118_2_f5.png,excitement,11,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS129_2_f1.png,happiness,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS129_2_f2.png,happiness,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS129_2_f3.png,happiness,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS129_2_f4.png,happiness,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS129_2_f5.png,happiness,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS134_2_f1.png,happiness,7,,,front,4-14,train,1,0,1
EMOREACT,,80'sTOYS134_2_f2.png,happiness,7,,,front,4-14,train,1,0,1
EMOREACT,,80'sTOYS134_2_f3.png,happiness,7,,,front,4-14,train,1,0,1
EMOREACT,,80'sTOYS134_2_f4.png,happiness,7,,,front,4-14,train,1,0,1
EMOREACT,,80'sTOYS134_2_f5.png,happiness,7,,,front,4-14,train,1,0,1
EMOREACT,,80'sTOYS134_2_f1.png,excitement,7,,,front,4-14,train,1,0,1
EMOREACT,,80'sTOYS134_2_f2.png,excitement,7,,,front,4-14,train,1,0,1
EMOREACT,,80'sTOYS134_2_f3.png,excitement,7,,,front,4-14,train,1,0,1
EMOREACT,,80'sTOYS134_2_f4.png,excitement,7,,,front,4-14,train,1,0,1
EMOREACT,,80'sTOYS134_2_f5.png,excitement,7,,,front,4-14,train,1,0,1
EMOREACT,,80'sTOYS24_2_f1.png,happiness,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS24_2_f2.png,happiness,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS24_2_f3.png,happiness,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS24_2_f4.png,happiness,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS24_2_f5.png,happiness,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS24_2_f1.png,excitement,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS24_2_f2.png,excitement,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS24_2_f3.png,excitement,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS24_2_f4.png,excitement,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS24_2_f5.png,excitement,14,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f1.png,surprise,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f2.png,surprise,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f3.png,surprise,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f4.png,surprise,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f5.png,surprise,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f1.png,curiosity,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f2.png,curiosity,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f3.png,curiosity,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f4.png,curiosity,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f5.png,curiosity,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f1.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f2.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f3.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f4.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f5.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f1.png,excitement,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f2.png,excitement,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f3.png,excitement,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f4.png,excitement,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS2_2_f5.png,excitement,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS30_2_f1.png,curiosity,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS30_2_f2.png,curiosity,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS30_2_f3.png,curiosity,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS30_2_f4.png,curiosity,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS30_2_f5.png,curiosity,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS30_2_f1.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS30_2_f2.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS30_2_f3.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS30_2_f4.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS30_2_f5.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS36_2_f1.png,curiosity,7,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS36_2_f2.png,curiosity,7,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS36_2_f3.png,curiosity,7,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS36_2_f4.png,curiosity,7,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS36_2_f5.png,curiosity,7,female,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS96_2_f1.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS96_2_f2.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS96_2_f3.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS96_2_f4.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,80'sTOYS96_2_f5.png,uncertainty,10,male,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE105_2_f1.png,happiness,12,female,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE105_2_f2.png,happiness,12,female,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE105_2_f3.png,happiness,12,female,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE105_2_f4.png,happiness,12,female,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE105_2_f5.png,happiness,12,female,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE105_2_f1.png,excitement,12,female,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE105_2_f2.png,excitement,12,female,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE105_2_f3.png,excitement,12,female,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE105_2_f4.png,excitement,12,female,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE105_2_f5.png,excitement,12,female,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE119_2_f1.png,happiness,12,,,front,4-14,train,1,0,1
EMOREACT,,ANNOYING_ORANGE119_2_f2.png,happiness,12,,,front,4-14,train,1,0,1
EMOREACT,,ANNOYING_ORANGE119_2_f3.png,happiness,12,,,front,4-14,train,1,0,1
EMOREACT,,ANNOYING_ORANGE119_2_f4.png,happiness,12,,,front,4-14,train,1,0,1
EMOREACT,,ANNOYING_ORANGE119_2_f5.png,happiness,12,,,front,4-14,train,1,0,1
EMOREACT,,ANNOYING_ORANGE11_2_f1.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE11_2_f2.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE11_2_f3.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE11_2_f4.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE11_2_f5.png,happiness,11,male,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE11_2_f1.png,disgust,11,male,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE11_2_f2.png,disgust,11,male,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE11_2_f3.png,disgust,11,male,,front,4-14,train,1,1,1
EMOREACT,,ANNOYING_ORANGE11_2_f4.png,disgust,11,male,,front,4-14,train,1,1,1
