dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
ElderReact,ElderReact-1,50_50_100_f1.png,fear,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f2.png,fear,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f3.png,fear,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f4.png,fear,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f5.png,fear,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f1.png,surprise,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f2.png,surprise,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f3.png,surprise,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f4.png,surprise,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f5.png,surprise,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f1.png,disgust,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f2.png,disgust,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f3.png,disgust,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f4.png,disgust,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_100_f5.png,disgust,62,female,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_104_f1.png,anger,62,male,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_104_f2.png,anger,62,male,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_104_f3.png,anger,62,male,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_104_f4.png,anger,62,male,,front,elderly,train,1,0,1
ElderReact,ElderReact-1,50_50_104_f5.png,anger,62,male,,front,elderly,train,1,0,1
