dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
FACES,FACES-1,004_o_m_a_a.jpg,anger,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_a_b.jpg,anger,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_d_a.jpg,disgust,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_d_b.jpg,disgust,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_f_a.jpg,fear,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_f_b.jpg,fear,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_h_a.jpg,happiness,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_h_b.jpg,happiness,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_n_a.jpg,neutral,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_n_b.jpg,neutral,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_s_a.jpg,sadness,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-1,004_o_m_s_b.jpg,sadness,70,male,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_a_a.jpg,anger,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_a_b.jpg,anger,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_d_a.jpg,disgust,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_d_b.jpg,disgust,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_f_a.jpg,fear,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_f_b.jpg,fear,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_h_a.jpg,happiness,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_h_b.jpg,happiness,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_n_a.jpg,neutral,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_n_b.jpg,neutral,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_s_a.jpg,sadness,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-2,005_o_f_s_b.jpg,sadness,69,female,caucasian,front,elderly,,1,0,0
FACES,FACES-3,006_m_f_a_a.jpg,anger,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_a_b.jpg,anger,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_d_a.jpg,disgust,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_d_b.jpg,disgust,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_f_a.jpg,fear,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_f_b.jpg,fear,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_h_a.jpg,happiness,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_h_b.jpg,happiness,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_n_a.jpg,neutral,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_n_b.jpg,neutral,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_s_a.jpg,sadness,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-3,006_m_f_s_b.jpg,sadness,44,female,caucasian,front,middle-age,,1,0,0
FACES,FACES-4,007_m_m_a_a.jpg,anger,58,male,caucasian,front,middle-age,,1,0,0
FACES,FACES-4,007_m_m_a_b.jpg,anger,58,male,caucasian,front,middle-age,,1,0,0
FACES,FACES-4,007_m_m_d_a.jpg,disgust,58,male,caucasian,front,middle-age,,1,0,0
