dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
FEGA,FEGA-1,0_F_22_alessandra2_Allegria_1.png,happiness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Arrabbiato_1.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Arrabbiato_3.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Arrabbiato_5.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Arrabbiato_6.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Arrabbiato_7.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Arrabbiato_8.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Neutra_1.png,neutral,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Neutra_2.png,neutral,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Neutra_3.png,neutral,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Neutra_4.png,neutral,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Neutra_5.png,neutral,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Neutra_6.png,neutral,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Neutra_7.png,neutral,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Neutra_8.png,neutral,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Paura_7.png,fear,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Paura_8.png,fear,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Tristezza_1.png,sadness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-1,0_F_22_alessandra2_Tristezza_2.png,sadness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Allegria_1.png,happiness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Allegria_2.png,happiness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Allegria_3.png,happiness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Allegria_4.png,happiness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Allegria_5.png,happiness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Allegria_6.png,happiness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Allegria_7.png,happiness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Allegria_8.png,happiness,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Arrabbiato_1.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Arrabbiato_2.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Arrabbiato_3.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Arrabbiato_4.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Arrabbiato_5.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Arrabbiato_6.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Arrabbiato_7.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Arrabbiato_8.png,anger,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Disgusto_1.png,disgust,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Disgusto_2.png,disgust,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Disgusto_3.png,disgust,22,female,caucasian,front,,,0,0,0
FEGA,FEGA-2,0_F_22_carolina_Disgusto_4.png,disgust,22,female,caucasian,front,,,0,0,0
