dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
FER2013,,10004_Sad.png,sadness,28,male,,front,,,0,0,1
FER2013,,10006_Sad.png,sadness,51,male,,front,,,0,0,1
FER2013,,10008_Sad.png,sadness,37,female,,front,,,0,0,1
FER2013,,1001_Sad.png,sadness,20,female,,front,,,0,0,1
FER2013,,10020_Sad.png,sadness,31,female,,half_left,,,0,0,1
FER2013,,10028_Sad.png,sadness,2,female,,front,,,0,0,1
FER2013,,10031_Sad.png,sadness,29,male,,front,,,0,0,1
FER2013,,10034_Sad.png,sadness,34,male,,front,,,0,0,1
FER2013,,1003_Sad.png,sadness,8,female,,front,,,0,0,1
FER2013,,10049_Sad.png,sadness,53,male,,front,,,0,0,1
FER2013,,10059_Sad.png,sadness,51,male,,front,,,0,0,1
FER2013,,1005_Sad.png,sadness,48,female,,front,,,0,0,1
FER2013,,10064_Sad.png,sadness,27,female,,front,,,0,0,1
FER2013,,10070_Sad.png,sadness,35,female,,front,,,0,0,1
FER2013,,10073_Sad.png,sadness,19,female,,front,,,0,0,1
FER2013,,10078_Sad.png,sadness,32,female,,front,,,0,0,1
FER2013,,1007_Sad.png,sadness,19,female,,front,,,0,0,1
FER2013,,10081_Sad.png,sadness,26,female,,front,,,0,0,1
FER2013,,10089_Sad.png,sadness,10,male,,front,,,0,0,1
FER2013,,1009_Sad.png,sadness,41,male,,front,,,0,0,1
FER2013,,10103_Sad.png,sadness,23,female,,front,,,0,0,1
FER2013,,10108_Sad.png,sadness,44,male,,front,,,0,0,1
FER2013,,1010_Sad.png,sadness,10,female,,front,,,0,0,1
FER2013,,10114_Sad.png,sadness,32,female,,front,,,0,0,1
FER2013,,10116_Sad.png,sadness,13,male,,front,,,0,0,1
FER2013,,1011_Sad.png,sadness,33,male,,front,,,0,0,1
FER2013,,10127_Sad.png,sadness,34,male,,half_right,,,0,0,1
FER2013,,10128_Sad.png,sadness,21,female,,front,,,0,0,1
FER2013,,10132_Sad.png,sadness,50,male,,front,,,0,0,1
FER2013,,10133_Sad.png,sadness,28,male,,front,,,0,0,1
FER2013,,10164_Sad.png,sadness,27,female,,front,,,0,0,1
FER2013,,10165_Sad.png,sadness,33,male,,half_left,,,0,0,1
FER2013,,10171_Sad.png,sadness,39,male,,front,,,0,0,1
