dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
JAFFE,JAFFE-1,KA_AN1_39.png,anger,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_AN2_40.png,anger,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_AN3_41.png,anger,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_DI1_42.png,disgust,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_DI2_43.png,disgust,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_DI3_44.png,disgust,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_FE1_45.png,fear,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_FE2_46.png,fear,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_FE3_47.png,fear,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_FE4_48.png,fear,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_HA1_29.png,happiness,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_HA2_30.png,happiness,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_HA3_31.png,happiness,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_HA4_32.png,happiness,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_NE1_26.png,neutral,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_NE2_27.png,neutral,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_NE3_28.png,neutral,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_SA1_33.png,sadness,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_SA2_34.png,sadness,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_SA3_35.png,sadness,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_SU1_36.png,surprise,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_SU2_37.png,surprise,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-1,KA_SU3_38.png,surprise,26,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_AN1_167.png,anger,29,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_AN2_168.png,anger,29,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_AN3_169.png,anger,29,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_DI1_170.png,disgust,29,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_DI2_171.png,disgust,29,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_DI3_172.png,disgust,29,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_DI4_173.png,disgust,29,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_FE1_174.png,fear,29,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_FE2_175.png,fear,29,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_FE3_176.png,fear,29,female,japanese,front,young,,1,0,0
JAFFE,JAFFE-2,KL_HA1_158.png,happiness,29,female,japanese,front,young,,1,0,0
