dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
KDEF,KDEF-1,AF01AFFL.JPG,fear,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,AF01AFFR.JPG,fear,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,AF01AFHL.JPG,fear,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,AF01AFHR.JPG,fear,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,AF01AFS.JPG,fear,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,AF01ANFL.JPG,anger,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,AF01ANFR.JPG,anger,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,AF01ANHL.JPG,anger,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,AF01ANHR.JPG,anger,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,AF01ANS.JPG,anger,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,AF01DIFL.JPG,disgust,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,AF01DIFR.JPG,disgust,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,AF01DIHL.JPG,disgust,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,AF01DIHR.JPG,disgust,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,AF01DIS.JPG,disgust,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,AF01HAFL.JPG,happiness,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,AF01HAFR.JPG,happiness,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,AF01HAHL.JPG,happiness,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,AF01HAHR.JPG,happiness,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,AF01HAS.JPG,happiness,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,AF01NEFL.JPG,neutral,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,AF01NEFR.JPG,neutral,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,AF01NEHL.JPG,neutral,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,AF01NEHR.JPG,neutral,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,AF01NES.JPG,neutral,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,AF01SAFL.JPG,sadness,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,AF01SAFR.JPG,sadness,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,AF01SAHL.JPG,sadness,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,AF01SAHR.JPG,sadness,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,AF01SAS.JPG,sadness,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,AF01SUFL.JPG,surprise,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,AF01SUHL.JPG,surprise,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,AF01SUHR.JPG,surprise,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,AF01SUS.JPG,surprise,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,BF01AFFL.JPG,fear,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,BF01AFFR.JPG,fear,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,BF01AFHL.JPG,fear,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,BF01AFHR.JPG,fear,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,BF01AFS.JPG,fear,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,BF01ANFL.JPG,anger,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,BF01ANFR.JPG,anger,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,BF01ANHL.JPG,anger,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,BF01ANHR.JPG,anger,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,BF01ANS.JPG,anger,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,BF01DIFL.JPG,disgust,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,BF01DIFR.JPG,disgust,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,BF01DIHL.JPG,disgust,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,BF01DIHR.JPG,disgust,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,BF01DIS.JPG,disgust,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,BF01HAFL.JPG,happiness,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,BF01HAFR.JPG,happiness,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,BF01HAHL.JPG,happiness,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,BF01HAHR.JPG,happiness,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,BF01HAS.JPG,happiness,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,BF01NEFL.JPG,neutral,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,BF01NEFR.JPG,neutral,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,BF01NEHL.JPG,neutral,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,BF01NEHR.JPG,neutral,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,BF01NES.JPG,neutral,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,BF01SAFL.JPG,sadness,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,BF01SAFR.JPG,sadness,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,BF01SAHL.JPG,sadness,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,BF01SAHR.JPG,sadness,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,BF01SAS.JPG,sadness,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-1,BF01SUFL.JPG,surprise,29,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-1,BF01SUFR.JPG,surprise,29,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-1,BF01SUHL.JPG,surprise,29,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-1,BF01SUHR.JPG,surprise,29,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-1,BF01SUS.JPG,surprise,29,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-2,AF02AFFL.JPG,fear,30,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-2,AF02AFFR.JPG,fear,30,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-2,AF02AFHL.JPG,fear,30,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-2,AF02AFHR.JPG,fear,30,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-2,AF02AFS.JPG,fear,30,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-2,AF02ANFL.JPG,anger,30,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-2,AF02ANFR.JPG,anger,30,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-2,AF02ANHL.JPG,anger,30,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-2,AF02ANHR.JPG,anger,30,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-2,AF02ANS.JPG,anger,30,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-2,AF02DIFL.JPG,disgust,30,female,swedish,full_left,20-30,,1,0,0
KDEF,KDEF-2,AF02DIFR.JPG,disgust,30,female,swedish,full_right,20-30,,1,0,0
KDEF,KDEF-2,AF02DIHL.JPG,disgust,30,female,swedish,half_left,20-30,,1,0,0
KDEF,KDEF-2,AF02DIHR.JPG,disgust,30,female,swedish,half_right,20-30,,1,0,0
KDEF,KDEF-2,AF02DIS.JPG,disgust,30,female,swedish,front,20-30,,1,0,0
KDEF,KDEF-2,AF02HAFL.JPG,happiness,30,female,swedish,full_left,20-30,,1,0,0
