dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
LIFESPAN,LIFESPAN-1,Bfemale33-2angry.JPG,anger,33,female,black,front,,,0,0,0
LIFESPAN,LIFESPAN-2,Bmale21angry.JPG,anger,21,male,black,front,,,0,0,0
LIFESPAN,LIFESPAN-2,Bmale21annoyed.JPG,anger,21,male,black,front,,,0,0,0
LIFESPAN,LIFESPAN-2,Bmale21sad.JPG,sadness,21,male,black,front,,,0,0,0
LIFESPAN,LIFESPAN-3,Bmale24angry.JPG,anger,24,male,black,front,,,0,0,0
LIFESPAN,LIFESPAN-4,Bmale30angry.JPG,anger,30,male,black,front,,,0,0,0
LIFESPAN,LIFESPAN-4,Bmale30sad.JPG,sadness,30,male,black,front,,,0,0,0
LIFESPAN,LIFESPAN-5,Bmale49angry.JPG,anger,49,male,black,front,,,0,0,0
LIFESPAN,LIFESPAN-5,Bmale49sad.JPG,sadness,49,male,black,front,,,0,0,0
LIFESPAN,LIFESPAN-6,Wfemale23-3angry.JPG,anger,23,female,white,front,,,0,0,0
LIFESPAN,LIFESPAN-7,Wfemale55angry.JPG,anger,55,female,white,front,,,0,0,0
LIFESPAN,LIFESPAN-7,Wfemale55sad.JPG,sadness,55,female,white,front,,,0,0,0
LIFESPAN,LIFESPAN-8,Wfemale73angry.JPG,anger,73,female,white,front,,,0,0,0
LIFESPAN,LIFESPAN-8,Wfemale73sad.JPG,sadness,73,female,white,front,,,0,0,0
LIFESPAN,LIFESPAN-9,Wmale45angry.JPG,anger,45,male,white,front,,,0,0,0
LIFESPAN,LIFESPAN-9,Wmale45surprised.JPG,surprise,45,male,white,front,,,0,0,0
LIFESPAN,LIFESPAN-10,Wmale65angry.JPG,anger,65,male,white,front,,,0,0,0
LIFESPAN,LIFESPAN-10,Wmale65sad.JPG,sadness,65,male,white,front,,,0,0,0
LIFESPAN,LIFESPAN-11,Bfemale18annoyed.JPG,anger,18,female,black,front,,,0,0,0
LIFESPAN,LIFESPAN-12,Bfemale19annoyed.JPG,anger,19,female,black,front,,,0,0,0
LIFESPAN,LIFESPAN-12,Bfemale19sad.JPG,sadness,19,female,black,front,,,0,0,0
LIFESPAN,LIFESPAN-13,Bfemale20annoyed.JPG,anger,20,female,black,front,,,0,0,0
LIFESPAN,LIFESPAN-13,Bfemale20sad.JPG,sadness,20,female,black,front,,,0,0,0
LIFESPAN,LIFESPAN-14,Bfemale21annoyed.JPG,anger,21,female,black,front,,,0,0,0
