dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
LIRIS,LIRIS-13,S10_fear_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_f2.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_f3.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_f4.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_f5.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_1_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_1_f2.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_1_f3.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_1_f4.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_1_f5.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_2_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_2_f2.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_2_f3.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_2_f4.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_2_f5.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_3_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_3_f2.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_3_f3.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_3_f4.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_3_f5.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_4_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_4_f2.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_4_f3.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_4_f4.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_fear_4_f5.png,fear,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_sad_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_sad_f2.png,sadness,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_sad_f3.png,sadness,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_sad_f4.png,sadness,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_sad_f5.png,sadness,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_sad_1_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_sad_1_f2.png,sadness,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_sad_1_f3.png,sadness,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_sad_1_f4.png,sadness,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_sad_1_f5.png,sadness,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_f2.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_f3.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_f4.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_1_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_1_f2.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_1_f3.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_1_f4.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_1_f5.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_2_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_2_f2.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_2_f3.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_2_f4.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_2_f5.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_3_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_3_f2.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_3_f3.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_3_f4.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_3_f5.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_4_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_4_f2.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_4_f3.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_4_f4.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_4_f5.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_5_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_5_f2.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_5_f3.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_5_f4.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_5_f5.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_6_f1.png,neutral,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_6_f2.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_6_f3.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_6_f4.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-13,S10_surprise_6_f5.png,surprise,7,female,,front,,,0,0,1
LIRIS,LIRIS-14,S11_anger_f1.png,neutral,8,female,,front,,,0,0,1
LIRIS,LIRIS-14,S11_anger_f2.png,anger,8,female,,front,,,0,0,1
LIRIS,LIRIS-14,S11_anger_f3.png,anger,8,female,,front,,,0,0,1
LIRIS,LIRIS-14,S11_anger_f4.png,anger,8,female,,front,,,0,0,1
LIRIS,LIRIS-14,S11_anger_f5.png,anger,8,female,,front,,,0,0,1
LIRIS,LIRIS-14,S11_disgust_f1.png,neutral,8,female,,front,,,0,0,1
LIRIS,LIRIS-14,S11_disgust_f2.png,disgust,8,female,,front,,,0,0,1
LIRIS,LIRIS-14,S11_disgust_f3.png,disgust,8,female,,front,,,0,0,1
LIRIS,LIRIS-14,S11_disgust_f4.png,disgust,8,female,,front,,,0,0,1
LIRIS,LIRIS-14,S11_disgust_f5.png,disgust,8,female,,front,,,0,0,1
