dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
MMI,MMI-1,S001-100_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-100_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-100_left_f3.png,anger,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-100_front_f3.png,anger,33,female,,front,,,0,0,0
MMI,MMI-1,S001-100_left_f4.png,anger,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-100_front_f4.png,anger,33,female,,front,,,0,0,0
MMI,MMI-1,S001-101_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-101_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-101_left_f3.png,anger,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-101_front_f3.png,anger,33,female,,front,,,0,0,0
MMI,MMI-1,S001-101_left_f4.png,anger,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-101_front_f4.png,anger,33,female,,front,,,0,0,0
MMI,MMI-1,S001-104_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-104_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-104_left_f3.png,disgust,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-104_front_f3.png,disgust,33,female,,front,,,0,0,0
MMI,MMI-1,S001-104_left_f4.png,disgust,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-104_front_f4.png,disgust,33,female,,front,,,0,0,0
MMI,MMI-1,S001-105_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-105_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-105_left_f3.png,disgust,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-105_front_f3.png,disgust,33,female,,front,,,0,0,0
MMI,MMI-1,S001-105_left_f4.png,disgust,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-105_front_f4.png,disgust,33,female,,front,,,0,0,0
MMI,MMI-1,S001-106_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-106_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-106_left_f3.png,fear,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-106_front_f3.png,fear,33,female,,front,,,0,0,0
MMI,MMI-1,S001-106_left_f4.png,fear,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-106_front_f4.png,fear,33,female,,front,,,0,0,0
MMI,MMI-1,S001-107_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-107_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-107_left_f3.png,fear,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-107_front_f3.png,fear,33,female,,front,,,0,0,0
MMI,MMI-1,S001-107_left_f4.png,fear,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-107_front_f4.png,fear,33,female,,front,,,0,0,0
MMI,MMI-1,S001-108_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-108_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-108_left_f3.png,happiness,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-108_front_f3.png,happiness,33,female,,front,,,0,0,0
MMI,MMI-1,S001-108_left_f4.png,happiness,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-108_front_f4.png,happiness,33,female,,front,,,0,0,0
MMI,MMI-1,S001-109_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-109_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-109_left_f3.png,happiness,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-109_front_f3.png,happiness,33,female,,front,,,0,0,0
MMI,MMI-1,S001-109_left_f4.png,happiness,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-109_front_f4.png,happiness,33,female,,front,,,0,0,0
MMI,MMI-1,S001-114_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-114_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-114_left_f3.png,sadness,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-114_front_f3.png,sadness,33,female,,front,,,0,0,0
MMI,MMI-1,S001-114_left_f4.png,sadness,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-114_front_f4.png,sadness,33,female,,front,,,0,0,0
MMI,MMI-1,S001-115_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-115_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-115_left_f3.png,sadness,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-115_front_f3.png,sadness,33,female,,front,,,0,0,0
MMI,MMI-1,S001-115_left_f4.png,sadness,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-115_front_f4.png,sadness,33,female,,front,,,0,0,0
MMI,MMI-1,S001-116_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-116_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-116_left_f3.png,surprise,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-116_front_f3.png,surprise,33,female,,front,,,0,0,0
MMI,MMI-1,S001-116_left_f4.png,surprise,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-116_front_f4.png,surprise,33,female,,front,,,0,0,0
MMI,MMI-1,S001-117_left_f1.png,neutral,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-117_front_f1.png,neutral,33,female,,front,,,0,0,0
MMI,MMI-1,S001-117_left_f3.png,surprise,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-117_front_f3.png,surprise,33,female,,front,,,0,0,0
MMI,MMI-1,S001-117_left_f4.png,surprise,33,female,,full_left,,,0,0,0
MMI,MMI-1,S001-117_front_f4.png,surprise,33,female,,front,,,0,0,0
MMI,MMI-2,S015-002_right_f1.png,neutral,25,male,,full_right,,,0,0,0
MMI,MMI-2,S015-002_front_f1.png,neutral,25,male,,front,,,0,0,0
MMI,MMI-2,S015-002_right_f3.png,disgust,25,male,,full_right,,,0,0,0
MMI,MMI-2,S015-002_front_f3.png,disgust,25,male,,front,,,0,0,0
MMI,MMI-2,S015-002_right_f4.png,disgust,25,male,,full_right,,,0,0,0
MMI,MMI-2,S015-002_front_f4.png,disgust,25,male,,front,,,0,0,0
MMI,MMI-3,S016-001_right_f1.png,neutral,21,male,,full_right,,,0,0,0
MMI,MMI-3,S016-001_front_f1.png,neutral,21,male,,front,,,0,0,0
MMI,MMI-3,S016-001_right_f3.png,disgust,21,male,,full_right,,,0,0,0
MMI,MMI-3,S016-001_front_f3.png,disgust,21,male,,front,,,0,0,0
MMI,MMI-3,S016-001_right_f4.png,disgust,21,male,,full_right,,,0,0,0
MMI,MMI-3,S016-001_front_f4.png,disgust,21,male,,front,,,0,0,0
MMI,MMI-4,S017-081_left_f1.png,neutral,28,female,,full_left,,,0,0,0
MMI,MMI-4,S017-081_front_f1.png,neutral,28,female,,front,,,0,0,0
MMI,MMI-4,S017-081_left_f3.png,sleepy,28,female,,full_left,,,0,0,0
MMI,MMI-4,S017-081_front_f3.png,sleepy,28,female,,front,,,0,0,0
MMI,MMI-4,S017-081_left_f4.png,sleepy,28,female,,full_left,,,0,0,0
MMI,MMI-4,S017-081_front_f4.png,sleepy,28,female,,front,,,0,0,0
MMI,MMI-5,S021-003_f1.png,neutral,25,male,,full_right,,,0,0,0
MMI,MMI-5,S021-003_f3.png,happiness,25,male,,full_right,,,0,0,0
MMI,MMI-5,S021-003_f4.png,happiness,25,male,,full_right,,,0,0,0
MMI,MMI-5,S021-004_f1.png,neutral,25,male,,full_right,,,0,0,0
MMI,MMI-5,S021-004_f3.png,surprise,25,male,,full_right,,,0,0,0
MMI,MMI-5,S021-004_f4.png,surprise,25,male,,full_right,,,0,0,0
MMI,MMI-5,S021-005_f1.png,neutral,25,male,,full_right,,,0,0,0
MMI,MMI-5,S021-005_f3.png,surprise,25,male,,full_right,,,0,0,0
MMI,MMI-5,S021-005_f4.png,surprise,25,male,,full_right,,,0,0,0
MMI,MMI-5,S021-006_f1.png,neutral,25,male,,full_right,,,0,0,0
MMI,MMI-5,S021-006_f3.png,happiness,25,male,,full_right,,,0,0,0
