dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
NIMH-ChEFS,NIMH-ChEFS-1,F10FA_4434.jpg,fear,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-1,F10FS_4426.jpg,fear,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-1,F10AA_4464.jpg,anger,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-1,F10AS_4451.jpg,anger,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-1,F10HA_4379.jpg,happiness,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-1,F10HS_4372.jpg,happiness,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-1,F10NA_4368.jpg,neutral,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-1,F10NS_4367.jpg,neutral,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-1,F10SA_4416.jpg,sadness,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-1,F10SS_4401.jpg,sadness,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-2,F11FA_4574.jpg,fear,14,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-2,F11FS_4571.jpg,fear,14,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-2,F11AA_4607.jpg,anger,14,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-2,F11AS_4593.jpg,anger,14,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-2,F11HA_4526.jpg,happiness,14,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-2,F11HS_4520.jpg,happiness,14,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-2,F11NA_4516.jpg,neutral,14,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-2,F11NS_4515.jpg,neutral,14,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-2,F11SA_4554.jpg,sadness,14,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-2,F11SS_4544.jpg,sadness,14,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-3,F12FA_5062.jpg,fear,10,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-3,F12FS_5036.jpg,fear,10,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-3,F12AA_5104.jpg,anger,10,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-3,F12AS_5068.jpg,anger,10,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-3,F12HA_5004.jpg,happiness,10,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-3,F12HS_5000.jpg,happiness,10,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-3,F12NA_4994.jpg,neutral,10,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-3,F12NS_4986.jpg,neutral,10,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-3,F12SA_5023.jpg,sadness,10,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-3,F12SS_5014.jpg,sadness,10,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-4,F13FA_5314.jpg,fear,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-4,F13FS_5292.jpg,fear,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-4,F13AA_5331.jpg,anger,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-4,F13AS_5323.jpg,anger,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-4,F13HA_5265.jpg,happiness,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-4,F13HS_5255.jpg,happiness,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-4,F13NA_5254.jpg,neutral,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-4,F13NS_5249.jpg,neutral,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-4,F13SA_5284.jpg,sadness,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-4,F13SS_5276.jpg,sadness,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-5,F14FA_5638.jpg,fear,17,female,,averted_gaze,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-5,F14FS_5632.jpg,fear,17,female,,front,10-17,,1,0,0
NIMH-ChEFS,NIMH-ChEFS-5,F14AA_5670.jpg,anger,17,female,,averted_gaze,10-17,,1,0,0
