dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
RaFD,RaFD-1,Rafd000_01_Caucasian_female_angry_frontal.jpg,anger,22,female,caucasian,full_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_angry_left.jpg,anger,22,female,caucasian,full_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_angry_right.jpg,anger,22,female,caucasian,full_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_contemptuous_frontal.jpg,contempt,22,female,caucasian,full_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_contemptuous_left.jpg,contempt,22,female,caucasian,full_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_contemptuous_right.jpg,contempt,22,female,caucasian,full_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_disgusted_frontal.jpg,disgust,22,female,caucasian,full_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_disgusted_left.jpg,disgust,22,female,caucasian,full_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_disgusted_right.jpg,disgust,22,female,caucasian,full_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_fearful_frontal.jpg,fear,22,female,caucasian,full_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_fearful_left.jpg,fear,22,female,caucasian,full_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_fearful_right.jpg,fear,22,female,caucasian,full_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_happy_frontal.jpg,happiness,22,female,caucasian,full_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_happy_left.jpg,happiness,22,female,caucasian,full_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_happy_right.jpg,happiness,22,female,caucasian,full_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_neutral_frontal.jpg,neutral,22,female,caucasian,full_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_neutral_left.jpg,neutral,22,female,caucasian,full_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_neutral_right.jpg,neutral,22,female,caucasian,full_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_sad_frontal.jpg,sadness,22,female,caucasian,full_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_sad_left.jpg,sadness,22,female,caucasian,full_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_sad_right.jpg,sadness,22,female,caucasian,full_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_surprised_frontal.jpg,surprise,22,female,caucasian,full_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_surprised_left.jpg,surprise,22,female,caucasian,full_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd000_01_Caucasian_female_surprised_right.jpg,surprise,22,female,caucasian,full_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_angry_frontal.jpg,anger,22,female,caucasian,half_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_angry_left.jpg,anger,22,female,caucasian,half_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_angry_right.jpg,anger,22,female,caucasian,half_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_contemptuous_frontal.jpg,contempt,22,female,caucasian,half_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_contemptuous_left.jpg,contempt,22,female,caucasian,half_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_contemptuous_right.jpg,contempt,22,female,caucasian,half_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_disgusted_frontal.jpg,disgust,22,female,caucasian,half_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_disgusted_left.jpg,disgust,22,female,caucasian,half_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_disgusted_right.jpg,disgust,22,female,caucasian,half_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_fearful_frontal.jpg,fear,22,female,caucasian,half_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_fearful_left.jpg,fear,22,female,caucasian,half_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_fearful_right.jpg,fear,22,female,caucasian,half_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_happy_frontal.jpg,happiness,22,female,caucasian,half_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_happy_left.jpg,happiness,22,female,caucasian,half_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_happy_right.jpg,happiness,22,female,caucasian,half_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_neutral_frontal.jpg,neutral,22,female,caucasian,half_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_neutral_left.jpg,neutral,22,female,caucasian,half_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_neutral_right.jpg,neutral,22,female,caucasian,half_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_sad_frontal.jpg,sadness,22,female,caucasian,half_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_sad_left.jpg,sadness,22,female,caucasian,half_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_sad_right.jpg,sadness,22,female,caucasian,half_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_surprised_frontal.jpg,surprise,22,female,caucasian,half_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_surprised_left.jpg,surprise,22,female,caucasian,half_left_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd045_01_Caucasian_female_surprised_right.jpg,surprise,22,female,caucasian,half_left_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd090_01_Caucasian_female_angry_frontal.jpg,anger,22,female,caucasian,front,adult,,1,0,0
RaFD,RaFD-1,Rafd090_01_Caucasian_female_angry_left.jpg,anger,22,female,caucasian,front_gaze_left,adult,,1,0,0
RaFD,RaFD-1,Rafd090_01_Caucasian_female_angry_right.jpg,anger,22,female,caucasian,front_gaze_right,adult,,1,0,0
RaFD,RaFD-1,Rafd090_01_Caucasian_female_contemptuous_frontal.jpg,contempt,22,female,caucasian,front,adult,,1,0,0
RaFD,RaFD-1,Rafd090_01_Caucasian_female_contemptuous_left.jpg,contempt,22,female,caucasian,front_gaze_left,adult,,1,0,0
