dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
SFEW,SFEW-177,Airheads_000519240_00000005.png,anger,26,male,,Non-Frontal,,train,0,0,0
SFEW,,AlexEmma_000225840_00000024.png,anger,42,male,,front,,train,1,1,1
SFEW,SFEW-47,AlexEmma_000846120_00000015.png,anger,23,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_004541880_00000063.png,anger,23,female,,front,,train,0,0,1
SFEW,SFEW-47,AlexEmma_011823160_00000002.png,anger,23,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_011823160_00000020.png,anger,23,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_011824880_00000036.png,anger,23,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_011824880_00000041.png,anger,23,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_011824880_00000048.png,anger,23,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_011824880_00000076.png,anger,23,female,,front,,train,0,0,0
SFEW,SFEW-47,SomethingBorrowed_013925520_00000015.png,anger,32,female,,front,,train,0,0,0
SFEW,SFEW-47,SomethingBorrowed_013925520_00000075.png,anger,32,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_004117920_00000105.png,disgust,23,female,,front,,train,0,0,1
SFEW,SFEW-47,AlexEmma_001305160_00000013.png,happiness,23,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_003322120_00000035.png,happiness,23,female,,front,,train,0,0,1
SFEW,SFEW-47,AlexEmma_004411160_00000026.png,happiness,23,female,,front,,train,0,0,1
SFEW,SFEW-47,AlexEmma_004540160_00000042.png,happiness,23,female,,front,,train,0,0,1
SFEW,SFEW-47,AlexEmma_005143680_00000023.png,happiness,23,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_005143680_00000079.png,happiness,23,female,,front,,train,0,0,0
SFEW,SFEW-47,SomethingBorrowed_000513320_00000001.png,happiness,32,male,,front,,train,0,0,0
SFEW,SFEW-47,SomethingBorrowed_011230520_00000001.png,happiness,32,female,,front,,train,0,0,0
SFEW,SFEW-47,SomethingBorrowed_011230520_00000037.png,happiness,32,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_000846120_00000041.png,neutral,23,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_005143680_00000007.png,neutral,23,female,,front,,train,0,0,0
SFEW,SFEW-47,AlexEmma_011145880_00000014.png,neutral,23,female,,front,,train,0,0,0
