dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
WSEFEP,WSEFEP-1,AD_7885.jpg,neutral,30,female,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-1,AD_7950.jpg,happiness,30,female,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-1,AD_8268.jpg,disgust,30,female,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-1,AD_8397.jpg,surprise,30,female,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-1,AD_8432.jpg,fear,30,female,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-1,AD_8595.jpg,sadness,30,female,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-1,AD_9681.jpg,anger,30,female,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-2,AG_0011.jpg,neutral,25,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-2,AG_0086.jpg,happiness,25,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-2,AG_0283.jpg,surprise,25,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-2,AG_0424.jpg,fear,25,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-2,AG_0666.jpg,disgust,25,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-2,AG_1314.jpg,anger,25,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-2,AG_1460.jpg,sadness,25,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-3,DC_0014.jpg,neutral,23,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-3,DC_0139.jpg,happiness,23,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-3,DC_0272.jpg,surprise,23,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-3,DC_0616.jpg,disgust,23,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-3,DC_0952.jpg,fear,23,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-3,DC_1317.jpg,anger,23,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-3,DC_1399.jpg,sadness,23,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-4,HW_0006.jpg,neutral,29,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-4,HW_0068.jpg,happiness,29,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-4,HW_0452.jpg,disgust,29,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-4,HW_1612.jpg,anger,29,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-4,HW_2057.jpg,surprise,29,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-4,HW_2219.jpg,fear,29,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-4,HW_2478.jpg,sadness,29,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-5,JG_0024.jpg,happiness,20,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-5,JG_0134.jpg,disgust,20,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-5,JG_1226.jpg,neutral,20,male,polish,front,20-30,,1,0,0
WSEFEP,WSEFEP-5,JG_1329.jpg,surprise,20,male,polish,front,20-30,,1,0,0
